year,state_po,district,COUNTA of Key,Race key,Democrat name,Republican name,Experience (D),Experience (R),Campaign finance (D),Campaign finance (R),candidates votes (D),Candidates votes (R)
2018,CA,37,2,CA_37_2018,KAREN BASS,RON J BASSILIAN,12,0,829565.75,10147.97,210555,25823
2018,CA,38,2,CA_38_2018,LINDA T SANCHEZ,RYAN DOWNING,20,4,1415533.77,0,139188,62968
2018,CA,39,2,CA_39_2018,GIL CISNEROS,YOUNG KIM,2,4,12183755.2,2902331.5,126002,118391
2018,CA,41,2,CA_41_2018,MARK TAKANO,AJA SMITH,30,4,1100014.99,43652.16,108227,58021
2018,CA,42,2,CA_42_2018,JULIA C PEACOCK,KEN CALVERT,2,40,149914.01,1620855.36,100892,131040
2018,CA,43,2,CA_43_2018,MAXINE WATERS,OMAR NAVARRO,36,6,1389065.63,1045289.5,152272,43780
2018,CA,44,2,CA_44_2018,AJA L BROWN,Null,0,Null,17820.15,Null,45378,Null
2018,CA,45,2,CA_45_2018,KATIE PORTER,MIMI WALTERS,4,6,6891471.01,5280460.18,158906,146383
2018,CA,46,2,CA_46_2018,LOU CORREA,RUSSELL RENE LAMBERT,6,0,565364.85,0,102278,45638
2018,CA,47,2,CA_47_2018,ALAN LOWENTHAL,JOHN BRISCOE,10,4,631673.27,48137.47,143354,77682
2018,CA,48,2,CA_48_2018,HARLEY ROUDA,DANA ROHRABACHER,4,30,8473725.72,2979978.21,157837,136899
2018,CA,49,2,CA_49_2018,MIKE LEVIN,DIANE L HARKEY,4,0,5497153.67,1642058.86,166453,128577
2018,CA,50,2,CA_50_2018,AMMAR CAMPA-NAJJAR,DUNCAN HUNTER,2,12,6428682.95,1822979,125448,134362
2018,CA,51,2,CA_51_2018,JUAN VARGAS,JUAN M HIDALGO JR,30,2,887074.58,70579.68,109527,44301
2018,CA,52,2,CA_52_2018,SCOTT PETERS,OMAR QUDRAT,10,0,2065312.97,372812.13,188992,107015
2018,CA,53,2,CA_53_2018,SUSAN A DAVIS,MORGAN MURTAUGH,20,0,466191.94,94570.86,185667,83127
2018,CO,1,2,CO_1_2018,DIANA DEGETTE,CHARLES CASPER STOCKHAM,26,0,1210039.74,35566.45,272886,85207
2018,CO,2,2,CO_2_2018,JOE NEGUSE,PETER YU,4,0,1064033.62,67708,259608,144901
2018,CO,3,2,CO_3_2018,DIANE MITSCH BUSH,SCOTT R TIPTON,2,14,1345333.87,1669621.45,146426,173205
2018,CO,4,2,CO_4_2018,KAREN MCCORMICK,KEN BUCK,0,8,952913.55,665221.16,145544,224038
2018,CO,5,2,CO_5_2018,STEPHANY ROSE SPAULDING,DOUG LAMBORN,0,16,327139.32,780249.79,126848,184002
2018,CO,6,2,CO_6_2018,JASON CROW,MIKE COFFMAN,4,10,5667236.29,3823933.07,187639,148685
2018,CO,7,2,CO_7_2018,ED PERLMUTTER,MARK BARRINGTON,16,0,1462835.47,54976.96,204260,119734
2018,CT,1,2,CT_1_2018,JOHN B LARSON,JENNIFER T NYE,22,0,1696552.75,0,166155,96024
2018,CT,2,2,CT_2_2018,JOE COURTNEY,DANNY POSTEMSKI JR,20,0,1028800.15,0,167659,102483
2018,CT,3,2,CT_3_2018,ROSA L DELAURO,ANGEL CADENA,32,2,1303898.64,0,163211,95667
2018,CT,4,2,CT_4_2018,JIM HIMES,HARRY ARORA,14,0,1706354.06,754776.65,168726,103175
2018,CT,5,2,CT_5_2018,JAHANA HAYES,MANNY SANTOS,4,0,1306411.7,75953.33,142901,115146
2018,DE,0,2,DE_0_2018,LISA BLUNT ROCHESTER,SCOTT WALKER,6,6,1196085.62,0,227353,125384
2018,FL,1,2,FL_1_2018,JENNIFER M ZIMMERMAN,MATT GAETZ,0,6,65473.96,1264156.93,106199,216189
2018,FL,2,2,FL_2_2018,BOB RACKLEFF,NEAL DUNN,0,6,257237.58,998275.67,96233,199335
2018,FL,3,2,FL_3_2018,YVONNE HAYES HINSON,TED YOHO,0,8,62700.32,798563.78,129880,176616
2018,FL,4,2,FL_4_2018,"GEORGE ""GES"" SELMONT",JOHN H RUTHERFORD,0,6,114302.73,508163.72,123351,248420
2018,FL,5,2,FL_5_2018,AL LAWSON,VIRGINIA FULLER,12,2,716893.53,40413,180527,89799
2018,FL,6,2,FL_6_2018,NANCY SODERBERG,MICHAEL WALTZ,0,4,3222462.35,2146378.61,145758,187891
2018,FL,7,2,FL_7_2018,STEPHANIE MURPHY,MIKE MILLER,6,0,3156143.66,1103414.05,183113,134285
2018,FL,8,2,FL_8_2018,SANJAY PATEL,BILL POSEY,0,14,337972.61,1086761.96,142415,218112
2018,FL,9,2,FL_9_2018,DARREN SOTO,WAYNE LIEBNITZKY,6,2,1534325.41,71507.85,172172,124565
2018,FL,11,2,FL_11_2018,DANA COTTRELL,DANIEL WEBSTER,2,12,87364.23,524574.92,128053,239395
2018,FL,12,2,FL_12_2018,CHRIS HUNTER,GUS MICHAEL BILIRAKIS,0,16,769589.7,2097991.8,132844,194564
2018,FL,13,2,FL_13_2018,CHARLIE CRIST,GEORGE BUCK,6,2,1780937.57,42519.44,182717,134254
2018,FL,15,2,FL_15_2018,KRISTEN CARLSON,ROSS SPANO,0,2,2101885.58,934198.85,134132,151380
2018,FL,16,2,FL_16_2018,DAVID SHAPIRO,VERN BUCHANAN,0,16,2616315.52,4379661.84,164463,197483
2018,FL,17,2,FL_17_2018,ALLEN ELLISON,GREG STEUBE,4,4,4189.53,694037.76,117194,193326
2018,FL,18,2,FL_18_2018,LAUREN BAER,BRIAN MAST,0,6,4599912.62,6047403.46,156454,185905
2018,FL,19,2,FL_19_2018,DAVID HOLDEN,FRANCIS ROONEY,0,4,557122.71,927377,128106,211465
2018,FL,22,2,FL_22_2018,TED DEUTCH,NICOLAS KIMAZ,12,0,1274589.63,202834.66,184634,113049
2018,FL,23,2,FL_23_2018,DEBBIE WASSERMAN SCHULTZ,"JOSEPH ""JOE"" KAUFMAN",18,6,0,499608.62,161611,99446
2018,FL,25,2,FL_25_2018,MARY BARZEE FLORES,MARIO DIAZ-BALART,0,20,1357282.32,811378.83,84173,128672
2018,FL,26,2,FL_26_2018,DEBBIE MUCARSEL-POWELL,CARLOS CURBELO,2,4,4615604.83,5132355.79,119797,115678
2018,FL,27,2,FL_27_2018,DONNA SHALALA,MARIA ELVIRA SALAZAR,2,4,4414481.03,2056401.32,130743,115588
2018,GA,1,2,GA_1_2018,LISA M RING,"EARL L ""BUDDY"" CARTER",2,8,205896.38,1471407.53,105942,144741
2018,GA,2,2,GA_2_2018,SANFORD BISHOP,HERMAN WEST JR,30,0,1273000.02,17109.52,136699,92472
2018,GA,3,2,GA_3_2018,CHUCK ENDERLIN,DREW FERGUSON,0,6,55647.13,1186339.75,101010,191996
2018,GA,4,2,GA_4_2018,"HENRY C ""HANK"" JOHNSON JR",JOE PROFIT,16,2,508416.01,82033.52,227717,61092
2018,GA,6,2,GA_6_2018,LUCY MCBATH,KAREN HANDEL,4,2,2485321.68,8685297.45,160139,156875
2018,GA,7,2,GA_7_2018,CAROLYN BOURDEAUX,ROB WOODALL,4,10,2801216.29,1514245.52,140011,140430
2018,GA,9,2,GA_9_2018,JOSH MCCALL,DOUG COLLINS,0,8,94468.6,758333.4,57912,224661
2018,GA,10,2,GA_10_2018,TABITHA A JOHNSON-GREEN,JODY HICE,4,12,12463.57,623056.89,112339,190396
2018,GA,11,2,GA_11_2018,FLYNN D BROADY JR,BARRY LOUDERMILK,0,8,47106.01,664052.54,118653,191887
2018,GA,12,2,GA_12_2018,FRANCYS JOHNSON,RICK W ALLEN,0,10,282355.12,1149262.52,101503,148986
2018,GA,13,2,GA_13_2018,DAVID SCOTT,DAVID CALLAHAN,20,0,1082428.34,18513,223157,69760
2018,GA,14,2,GA_14_2018,STEVEN LAMAR FOSTER,TOM GRAVES,0,10,8086,1019273.24,53981,175743
2018,HI,1,2,HI_1_2018,ED CASE,CAM CAVASSO,20,0,482824.33,155400.37,134650,42498
2018,HI,2,2,HI_2_2018,TULSI GABBARD,BRIAN EVANS,8,2,1452102.58,0,153271,44850
2018,IA,1,2,IA_1_2018,ABBY FINKENAUER,ROD BLUM,2,6,4572791.56,2774877.78,170342,153442
2018,IA,2,2,IA_2_2018,DAVE LOEBSACK,CHRISTOPHER PETERS,14,2,2354379.5,853952.41,171446,133287
2018,IA,3,2,IA_3_2018,CINDY AXNE,DAVID YOUNG,4,6,5223872.91,2913630.99,175642,167933
2018,IA,4,2,IA_4_2018,JD SCHOLTEN,STEVE KING,2,18,3240682.22,976612.43,147246,157676
2018,ID,1,2,ID_1_2018,CRISTINA MCNEIL,RUSS FULCHER,0,4,0,881601.3,96922,197719
2018,ID,2,2,ID_2_2018,AARON SWISHER,MIKE SIMPSON,2,24,125832.31,993766.72,110381,170274
